"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7287","Verify product Pricing Details","chromium","Thu Nov 20 22:40:52 IST 2025","passed","Thu Nov 20 22:41:00 IST 2025","","productInfo.spec.ts","",""
"","1638","Verify Invalid LoginPage","chromium","Tue Nov 18 14:55:08 IST 2025","passed","Tue Nov 18 14:55:09 IST 2025","","loginpage.spec.ts","",""
"","7518","Verify product Images MacBook Air : 4","chromium","Thu Nov 20 22:40:52 IST 2025","passed","Thu Nov 20 22:41:00 IST 2025","","productInfo.spec.ts","",""
"","1820","Verify valid login","chromium","Thu Nov 20 16:34:11 IST 2025","failed","Thu Nov 20 16:34:13 IST 2025","","loginpage.spec.ts","",""
"","1581","Verify page title","chromium","Sun Nov 16 13:14:56 IST 2025","passed","Sun Nov 16 13:14:58 IST 2025","","myutils.spec.ts","",""
"","1511","Verify product search","chromium","Wed Nov 19 11:01:35 IST 2025","failed","Wed Nov 19 11:01:36 IST 2025","","search.spec.ts","",""
"","4248","Verify product search samsung","chromium","Thu Nov 20 22:31:11 IST 2025","passed","Thu Nov 20 22:31:16 IST 2025","","search.spec.ts","",""
"","4706","Verify product Header MacBook Air","chromium","Thu Nov 20 12:57:18 IST 2025","passed","Thu Nov 20 12:57:22 IST 2025","","productinfo.spec.ts","",""
"","2161","Verify product Header","chromium","Wed Nov 19 14:45:16 IST 2025","passed","Wed Nov 19 14:45:18 IST 2025","","productinfo.spec.ts","",""
"","5773","Verify product Header Samsung Galaxy Tab 10.1","chromium","Thu Nov 20 22:40:52 IST 2025","passed","Thu Nov 20 22:40:58 IST 2025","","productInfo.spec.ts","",""
"","4979","Verify product Pricing Details","chromium","Thu Nov 20 12:57:18 IST 2025","passed","Thu Nov 20 12:57:23 IST 2025","","productinfo.spec.ts","",""
"","4622","Verify product Images Samsung Galaxy Tab 10.1 : 7","chromium","Thu Nov 20 12:57:18 IST 2025","passed","Thu Nov 20 12:57:22 IST 2025","","productinfo.spec.ts","",""
"","4854","Verify product Header Samsung Galaxy Tab 10.1","chromium","Thu Nov 20 12:57:18 IST 2025","passed","Thu Nov 20 12:57:22 IST 2025","","productinfo.spec.ts","",""
"","3592","Verify product search canon","chromium","Thu Nov 20 22:31:11 IST 2025","passed","Thu Nov 20 22:31:15 IST 2025","","search.spec.ts","",""
"","7195","Verify product Images MacBook Pro : 4","chromium","Thu Nov 20 22:40:52 IST 2025","passed","Thu Nov 20 22:40:59 IST 2025","","productInfo.spec.ts","",""
"","2283","verify valid login","chromium","Thu Nov 20 20:44:37 IST 2025","passed","Thu Nov 20 20:44:39 IST 2025","","loginpage.spec.ts","",""
"","2346","Verify product Images MacBook Air : undefined","chromium","Wed Nov 19 15:45:25 IST 2025","failed","Wed Nov 19 15:45:27 IST 2025","","productinfo.spec.ts","",""
"","4111","Verify product Images MacBook Pro : 4","chromium","Thu Nov 20 12:57:18 IST 2025","passed","Thu Nov 20 12:57:22 IST 2025","","productinfo.spec.ts","",""
"","6183","Verify product Header MacBook Pro","chromium","Thu Nov 20 22:40:52 IST 2025","passed","Thu Nov 20 22:40:58 IST 2025","","productInfo.spec.ts","",""
"","7279","Verify product MetaData","chromium","Thu Nov 20 22:40:52 IST 2025","passed","Thu Nov 20 22:40:59 IST 2025","","productInfo.spec.ts","",""
"","3878","Verify product search macbook","chromium","Thu Nov 20 22:31:11 IST 2025","passed","Thu Nov 20 22:31:15 IST 2025","","search.spec.ts","",""
"","7686","Verify product Header MacBook Air","chromium","Thu Nov 20 22:40:52 IST 2025","passed","Thu Nov 20 22:41:00 IST 2025","","productInfo.spec.ts","",""
"","2233","verify Invalid login","chromium","Thu Nov 20 22:23:50 IST 2025","failed","Thu Nov 20 22:23:52 IST 2025","","loginpage.spec.ts","",""
"","4983","Verify product Images MacBook Air : 4","chromium","Thu Nov 20 12:57:18 IST 2025","passed","Thu Nov 20 12:57:23 IST 2025","","productinfo.spec.ts","",""
"","2702","Verify product MetaData","chromium","Thu Nov 20 22:35:06 IST 2025","failed","Thu Nov 20 22:35:08 IST 2025","","productinfo.spec.ts","",""
"","3663","Verify product Header MacBook Pro","chromium","Thu Nov 20 12:57:18 IST 2025","passed","Thu Nov 20 12:57:21 IST 2025","","productinfo.spec.ts","",""
"","3831","Verify product search imac","chromium","Thu Nov 20 22:31:12 IST 2025","passed","Thu Nov 20 22:31:15 IST 2025","","search.spec.ts","",""
"","7272","Verify product Images Samsung Galaxy Tab 10.1 : 7","chromium","Thu Nov 20 22:40:52 IST 2025","passed","Thu Nov 20 22:41:00 IST 2025","","productInfo.spec.ts","",""
"","2608","Verify product Images Samsung Galaxy Tab 10.1 : undefined","chromium","Wed Nov 19 15:45:25 IST 2025","failed","Wed Nov 19 15:45:27 IST 2025","","productinfo.spec.ts","",""
"","3341","Verify product search motorola","chromium","Thu Nov 20 22:31:12 IST 2025","passed","Thu Nov 20 22:31:15 IST 2025","","search.spec.ts","",""
